"layer","stage","rel_path","size_bytes","data_rows"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0031\phase3cm_train_reward.csv","13038","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0032\phase3cm_train_reward.csv","13027","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0033\phase3cm_train_reward.csv","12595","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0034\phase3cm_train_reward.csv","12048","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0035\phase3cm_train_reward.csv","12338","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0036\phase3cm_train_reward.csv","11464","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0037\phase3cm_train_reward.csv","11915","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0038\phase3cm_train_reward.csv","11469","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0039\phase3cm_train_reward.csv","12676","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0040\phase3cm_train_reward.csv","11137","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0041\phase3cm_train_reward.csv","13171","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0042\phase3cm_train_reward.csv","10792","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0043\phase3cm_train_reward.csv","11803","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0044\phase3cm_train_reward.csv","13648","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0045\phase3cm_train_reward.csv","10919","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0046\phase3cm_train_reward.csv","11718","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0047\phase3cm_train_reward.csv","11356","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0048\phase3cm_train_reward.csv","10422","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0049\phase3cm_train_reward.csv","8831","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0050\phase3cm_train_reward.csv","8478","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0051\phase3cm_train_reward.csv","9158","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0052\phase3cm_train_reward.csv","9106","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0053\phase3cm_train_reward.csv","9098","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0054\phase3cm_train_reward.csv","8964","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0055\phase3cm_train_reward.csv","8949","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0056\phase3cm_train_reward.csv","8820","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0057\phase3cm_train_reward.csv","9039","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0058\phase3cm_train_reward.csv","8895","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0059\phase3cm_train_reward.csv","8980","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0060\phase3cm_train_reward.csv","8801","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0061\phase3cm_train_reward.csv","9004","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0062\phase3cm_train_reward.csv","8490","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0063\phase3cm_train_reward.csv","8559","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0064\phase3cm_train_reward.csv","8524","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0065\phase3cm_train_reward.csv","8661","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0066\phase3cm_train_reward.csv","8523","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0067\phase3cm_train_reward.csv","8681","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0068\phase3cm_train_reward.csv","8495","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0069\phase3cm_train_reward.csv","9266","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0070\phase3cm_train_reward.csv","8715","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0071\phase3cm_train_reward.csv","8653","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0072\phase3cm_train_reward.csv","8635","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0073\phase3cm_train_reward.csv","8403","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0074\phase3cm_train_reward.csv","8842","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0075\phase3cm_train_reward.csv","8639","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0076\phase3cm_train_reward.csv","8465","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0077\phase3cm_train_reward.csv","8336","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0078\phase3cm_train_reward.csv","8763","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0079\phase3cm_train_reward.csv","8855","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0080\phase3cm_train_reward.csv","9287","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0081\phase3cm_train_reward.csv","8489","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0082\phase3cm_train_reward.csv","8712","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0083\phase3cm_train_reward.csv","8494","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0084\phase3cm_train_reward.csv","9427","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0085\phase3cm_train_reward.csv","9029","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0086\phase3cm_train_reward.csv","9389","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0087\phase3cm_train_reward.csv","8760","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0088\phase3cm_train_reward.csv","9569","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0089\phase3cm_train_reward.csv","9099","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0090\phase3cm_train_reward.csv","8912","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0091\phase3cm_train_reward.csv","8499","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0092\phase3cm_train_reward.csv","9504","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0093\phase3cm_train_reward.csv","9316","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0094\phase3cm_train_reward.csv","8829","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0095\phase3cm_train_reward.csv","8743","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0096\phase3cm_train_reward.csv","9713","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0097\phase3cm_train_reward.csv","8926","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0098\phase3cm_train_reward.csv","8731","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0099\phase3cm_train_reward.csv","8636","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0100\phase3cm_train_reward.csv","9101","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0101\phase3cm_train_reward.csv","8577","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0102\phase3cm_train_reward.csv","8524","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0103\phase3cm_train_reward.csv","8625","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0104\phase3cm_train_reward.csv","8558","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0105\phase3cm_train_reward.csv","8596","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0106\phase3cm_train_reward.csv","8622","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0107\phase3cm_train_reward.csv","8731","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0108\phase3cm_train_reward.csv","8973","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0109\phase3cm_train_reward.csv","8734","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0110\phase3cm_train_reward.csv","8801","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0111\phase3cm_train_reward.csv","8988","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0112\phase3cm_train_reward.csv","8694","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0113\phase3cm_train_reward.csv","8637","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0114\phase3cm_train_reward.csv","8771","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0115\phase3cm_train_reward.csv","8840","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0116\phase3cm_train_reward.csv","8578","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0117\phase3cm_train_reward.csv","8754","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0118\phase3cm_train_reward.csv","8895","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0119\phase3cm_train_reward.csv","8425","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0120\phase3cm_train_reward.csv","8510","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0121\phase3cm_train_reward.csv","8458","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0122\phase3cm_train_reward.csv","8810","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0123\phase3cm_train_reward.csv","8909","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0124\phase3cm_train_reward.csv","9013","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0125\phase3cm_train_reward.csv","8835","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0126\phase3cm_train_reward.csv","8508","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0127\phase3cm_train_reward.csv","9071","8"
"runtime","stage0","runtime\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_reports\candidate_subchunk_0128\phase3cm_train_reward.csv","8667","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_train_reward.csv","194553","120"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0001\phase3cm_train_reward.csv","12773","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0002\phase3cm_train_reward.csv","12323","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0003\phase3cm_train_reward.csv","12248","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0004\phase3cm_train_reward.csv","13433","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0005\phase3cm_train_reward.csv","12731","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0006\phase3cm_train_reward.csv","13091","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0007\phase3cm_train_reward.csv","12756","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0008\phase3cm_train_reward.csv","13346","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0009\phase3cm_train_reward.csv","13740","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0010\phase3cm_train_reward.csv","13882","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0011\phase3cm_train_reward.csv","13634","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0012\phase3cm_train_reward.csv","13587","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0013\phase3cm_train_reward.csv","13820","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0014\phase3cm_train_reward.csv","13148","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0015\phase3cm_train_reward.csv","13177","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_chunks\candidate_subchunk_0016\phase3cm_train_reward.csv","12935","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0001\phase3cm_train_reward.csv","12773","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0002\phase3cm_train_reward.csv","12323","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0003\phase3cm_train_reward.csv","12248","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0004\phase3cm_train_reward.csv","13433","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0005\phase3cm_train_reward.csv","12731","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0006\phase3cm_train_reward.csv","13091","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0007\phase3cm_train_reward.csv","12756","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0008\phase3cm_train_reward.csv","13346","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0009\phase3cm_train_reward.csv","13740","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0010\phase3cm_train_reward.csv","13882","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0011\phase3cm_train_reward.csv","13634","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0012\phase3cm_train_reward.csv","13587","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0013\phase3cm_train_reward.csv","13820","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0014\phase3cm_train_reward.csv","13148","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0015\phase3cm_train_reward.csv","13177","8"
"runtime","stage1","runtime\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_reports\candidate_subchunk_0016\phase3cm_train_reward.csv","12935","8"
"reports","stage0","reports\phase3ei_historical_ban_short_recheck_20260704\stage0_fast_train_reward\phase3cm_train_reward.csv","1235513","1008"
"reports","stage1","reports\phase3ei_historical_ban_short_recheck_20260704\stage1_deeper_train_reward\phase3cm_train_reward.csv","194553","120"
