candidate_id,route_id,expression,operator_family,seed,proposal_origin,matched_control_id,declared_field_ids,condition_field_ids,is_matched_control,vote_policy,maturity_contract_registered,exposure_ledger_required,access_roles,uses_future_revision,requires_intrabar_order,generator_version,skeleton_id,financial_hypothesis,input_roles,unit_signature,clock_contract,maturity_contract,control_ablation_rule,maximum_depth,support_unit,outer_mapping,search_role,entity_scope,cross_sectional_rank_allowed_for_condition,market_vote_policy,pair_id,control_constructor_id,pair_mapping_portfolio_contract,pair_support_alignment_policy,pair_maturity_alignment_policy,allow_behavior_equivalence,pair_member_role,legal,typed_route_decision,typed_route_rejection_code,typed_route_reason,canonical_expression,canonical_identity,exact_identity,field_ids,source_field_ids,representation_ids,operator_paths,maturity_rule,generator_authority,constructor_profile,generation_attempt_index,generation_stream_id
cn.comp.d27769a4c1983aa22d0e,MARKET_REGIME_CONDITION,"CSRank(Mul(ZScore($vwap),Sign($ctx_sent_lb_2_num)))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.d27769a4c1983aa22d0e.control,"[""vwap"", ""ctx_sent_lb_2_num""]","[""ctx_sent_lb_2_num""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.payload_regime_interaction,stock payload behaves differently by market regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_regime_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.e4f76648464888eea0676d2204f565d8,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Mul(ZScore($vwap),Sign($ctx_sent_lb_2_num)))",43b54a66db1491da07bd6ff2ad288c6402846d7add929a923690cbe55967d0f8,bb64aa25ec094b9282db8aa834a159ef45dee3ac5205b6469b6d1102c1a570b7,"[""ctx_sent_lb_2_num"", ""vwap""]","[""cn.sf.68dfb05b493b72281b3e51f16c2ea06e"", ""cn.sf.b4279506efdad23a752311a627c7060d""]","[""cn.rep.ab1f327e4e513a9cb878a2d4be3fd61e"", ""cn.rep.83d251a9f86f7e4fec75b8902aaa881b""]","[""root:CSRank"", ""root.CSRank[0]:Mul"", ""root.CSRank[0].Mul[0]:ZScore"", ""root.CSRank[0].Mul[1]:Sign""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,0,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.d27769a4c1983aa22d0e.control,MARKET_REGIME_CONDITION,"CSRank(Add(ZScore($vwap),Mul(0,$ctx_sent_lb_2_num)))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.d27769a4c1983aa22d0e,"[""vwap"", ""ctx_sent_lb_2_num""]","[""ctx_sent_lb_2_num""]",True,CONTROL_NO_SEPARATE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.payload_regime_interaction,stock payload behaves differently by market regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_regime_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.e4f76648464888eea0676d2204f565d8,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Add(ZScore($vwap),Mul(0,$ctx_sent_lb_2_num)))",c0ad3902031576bd8cb61d05200f876b1da839fabfaff36b5b8b7684608a8564,c2ab9c6bc67d773ecf5db4fbaa2b3d72632b5bc627d9b86fc82830dccfa86629,"[""ctx_sent_lb_2_num"", ""vwap""]","[""cn.sf.68dfb05b493b72281b3e51f16c2ea06e"", ""cn.sf.b4279506efdad23a752311a627c7060d""]","[""cn.rep.ab1f327e4e513a9cb878a2d4be3fd61e"", ""cn.rep.83d251a9f86f7e4fec75b8902aaa881b""]","[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,0,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.3eb0bf1b63a4cc8dab94,MARKET_REGIME_CONDITION,"CSRank(Sub(ZScore($pct_chg),Mul(Sign($pct_chg),Sign($ctx_sent_zb_num))))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.3eb0bf1b63a4cc8dab94.control,"[""pct_chg"", ""ctx_sent_zb_num""]","[""ctx_sent_zb_num""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.payload_regime_residual,stock payload residual differs under regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-residual,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_regime_residualizer,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.c2a4999891e324150b9ddf3d9d06bcb7,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Sub(ZScore($pct_chg),Mul(Sign($pct_chg),Sign($ctx_sent_zb_num))))",6dd8b8ffcd46eac48d97cff08646b98d8d8ff259ae699398d29dab4d628029c9,7ba4df2e774ed6cd5b96f30e959c2aacf377f573e2c1b23f7c1cafdc0bb77d33,"[""ctx_sent_zb_num"", ""pct_chg""]","[""cn.sf.76ee65c36ddf54363d93d38faaf702a9"", ""cn.sf.e175250817b067c80c690ce8e2ea6e72""]","[""cn.rep.c4b0cc327badf344c9c55407441f2e08"", ""cn.rep.ff25d250e767d497a03a512194193e34""]","[""root:CSRank"", ""root.CSRank[0]:Sub"", ""root.CSRank[0].Sub[0]:ZScore"", ""root.CSRank[0].Sub[1]:Mul"", ""root.CSRank[0].Sub[1].Mul[0]:Sign"", ""root.CSRank[0].Sub[1].Mul[1]:Sign""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,1,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.3eb0bf1b63a4cc8dab94.control,MARKET_REGIME_CONDITION,"CSRank(Add(ZScore($pct_chg),Mul(0,$ctx_sent_zb_num)))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.3eb0bf1b63a4cc8dab94,"[""pct_chg"", ""ctx_sent_zb_num""]","[""ctx_sent_zb_num""]",True,CONTROL_NO_SEPARATE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.payload_regime_residual,stock payload residual differs under regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-residual,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_regime_residualizer,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.c2a4999891e324150b9ddf3d9d06bcb7,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Add(ZScore($pct_chg),Mul(0,$ctx_sent_zb_num)))",43d698a53a4f72e56cb1f7a3d88818b0e32fecfa1ee7c554c9faaba4ee58ed67,38cbde51251a06286fa7c135df4237aa914a6094a5fa3ef3a5ff0a50ea92f8dc,"[""ctx_sent_zb_num"", ""pct_chg""]","[""cn.sf.76ee65c36ddf54363d93d38faaf702a9"", ""cn.sf.e175250817b067c80c690ce8e2ea6e72""]","[""cn.rep.c4b0cc327badf344c9c55407441f2e08"", ""cn.rep.ff25d250e767d497a03a512194193e34""]","[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,1,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.8ade1b1886c51d52bfb5,MARKET_REGIME_CONDITION,"CSRank(Mul(Sign($pct_chg),Persistence(Positive($ctx_sent_gt5_num),10)))",StateAge,2026073210,typed_compositional_grammar_v2,cn.comp.8ade1b1886c51d52bfb5.control,"[""pct_chg"", ""ctx_sent_gt5_num""]","[""ctx_sent_gt5_num""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_maturity_payload,mature regime state modulates stock payload,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_maturity_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.86891edcc25c80f795014730bc270254,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Mul(Sign($pct_chg),Persistence(Positive($ctx_sent_gt5_num),10)))",3e1079baaaef2431e7ebf3ec1c5f3c31571fd55ea05d824f3d4e75e840f05e34,3ad685a83711450b602c1602cef57866892fa6e6e9922690dfe110779f843834,"[""ctx_sent_gt5_num"", ""pct_chg""]","[""cn.sf.e223dd2a3022c9e73b2fc82ee96ae68e"", ""cn.sf.e175250817b067c80c690ce8e2ea6e72""]","[""cn.rep.bb563e33bb58f4d53499bd853422e2ff"", ""cn.rep.ff25d250e767d497a03a512194193e34""]","[""root:CSRank"", ""root.CSRank[0]:Mul"", ""root.CSRank[0].Mul[0]:Sign"", ""root.CSRank[0].Mul[1]:Persistence"", ""root.CSRank[0].Mul[1].Persistence[0]:Positive""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,3,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.8ade1b1886c51d52bfb5.control,MARKET_REGIME_CONDITION,"CSRank(Add(ZScore($pct_chg),Mul(0,$ctx_sent_gt5_num)))",StateAge,2026073210,typed_compositional_grammar_v2,cn.comp.8ade1b1886c51d52bfb5,"[""pct_chg"", ""ctx_sent_gt5_num""]","[""ctx_sent_gt5_num""]",True,CONTROL_NO_SEPARATE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_maturity_payload,mature regime state modulates stock payload,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_maturity_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.86891edcc25c80f795014730bc270254,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Add(ZScore($pct_chg),Mul(0,$ctx_sent_gt5_num)))",15d8a7749c106cc6c65f538b799d6b64090927e1c6e60ac7a6e1e474b5a04242,a054189fae216d05704d0b8a8c2c5ec3f2430b29454240f4a7b365466c97e43c,"[""ctx_sent_gt5_num"", ""pct_chg""]","[""cn.sf.e223dd2a3022c9e73b2fc82ee96ae68e"", ""cn.sf.e175250817b067c80c690ce8e2ea6e72""]","[""cn.rep.bb563e33bb58f4d53499bd853422e2ff"", ""cn.rep.ff25d250e767d497a03a512194193e34""]","[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,3,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.13408cc667eaed430fd6,MARKET_REGIME_CONDITION,"CSRank(Mul(MultiScaleRelation($close,$ctx_sent_mian_num,5,20),Sign($ctx_sent_mian_num)))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.13408cc667eaed430fd6.control,"[""close"", ""ctx_sent_mian_num""]","[""ctx_sent_mian_num""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_multiscale_response,short and long payload relation changes by regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-relation,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_multiscale_leg,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.7877d0200b0a7cfa094c8bfa9726929a,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Mul(MultiScaleRelation($close,$ctx_sent_mian_num,5,20),Sign($ctx_sent_mian_num)))",58a5d78c091cf54986b5ba65894b1bde216f27e689a81a09b938163739919d7a,83ff7d722740ecf8643ff9cd9d6c1f41afea6b85d9cf9fb02644b70bdc3e859e,"[""close"", ""ctx_sent_mian_num""]","[""cn.sf.d40f8f20500150cfff77216ced9c2922"", ""cn.sf.a9d8831cc96b748b8100449cc149eb31""]","[""cn.rep.f2107e4504bd106fcf3ccc678d1c96c8"", ""cn.rep.41752eba761e0d4cf6e7414902a5e427""]","[""root:CSRank"", ""root.CSRank[0]:Mul"", ""root.CSRank[0].Mul[0]:MultiScaleRelation"", ""root.CSRank[0].Mul[1]:Sign""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,5,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.13408cc667eaed430fd6.control,MARKET_REGIME_CONDITION,"CSRank(Add(ZScore($close),Mul(0,$ctx_sent_mian_num)))",RegimeInteraction,2026073210,typed_compositional_grammar_v2,cn.comp.13408cc667eaed430fd6,"[""close"", ""ctx_sent_mian_num""]","[""ctx_sent_mian_num""]",True,CONTROL_NO_SEPARATE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_multiscale_response,short and long payload relation changes by regime,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-relation,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_multiscale_leg,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.7877d0200b0a7cfa094c8bfa9726929a,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Add(ZScore($close),Mul(0,$ctx_sent_mian_num)))",931da7e083be8c29f1f1b5c1933084df6d5ca8be0c2e8fc1bdfac5c7b15197e2,94f088ed81439e96cd63ea04b5d6ab8dc7aa9fee19a77c8a3b302284b076445d,"[""close"", ""ctx_sent_mian_num""]","[""cn.sf.d40f8f20500150cfff77216ced9c2922"", ""cn.sf.a9d8831cc96b748b8100449cc149eb31""]","[""cn.rep.f2107e4504bd106fcf3ccc678d1c96c8"", ""cn.rep.41752eba761e0d4cf6e7414902a5e427""]","[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,5,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.195956fa55da5ddb7725,MARKET_REGIME_CONDITION,"CSRank(Mul(PathShape($ret_1m,10),Sign($ctx_zls_df_num)))",ConditionGate,2026073210,typed_compositional_grammar_v2,cn.comp.195956fa55da5ddb7725.control,"[""ret_1m"", ""ctx_zls_df_num""]","[""ctx_zls_df_num""]",False,ONE_SUPPORT_UNIT_ONE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_conditioned_path,regime conditions the recent stock path,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_condition_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.4104bd43c6de06f50bde6c274a4f4fb0,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,PRIMARY,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Mul(PathShape($ret_1m,10),Sign($ctx_zls_df_num)))",3c2b6e5bbb8b4a5d13af7b22b3f30b41b1cca65590a86ccef2b6eecbfa1400f4,6d2229ddc3975e58724847b49d4360179cf0c077f59f568de49c194bdec8332f,"[""ctx_zls_df_num"", ""ret_1m""]","[""cn.sf.78a2115ee1fc8f097ef4ad089e83c268"", ""cn.sf.7ac67c3e2be8e149c3c02a4842c21173""]","[""cn.rep.530cebb9bb594cdfc258f9ca9691a013"", ""cn.rep.92264a877f9fcf2b53483a2833631e12""]","[""root:CSRank"", ""root.CSRank[0]:Mul"", ""root.CSRank[0].Mul[0]:PathShape"", ""root.CSRank[0].Mul[1]:Sign""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,6,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
cn.comp.195956fa55da5ddb7725.control,MARKET_REGIME_CONDITION,"CSRank(Add(ZScore($ret_1m),Mul(0,$ctx_zls_df_num)))",ConditionGate,2026073210,typed_compositional_grammar_v2,cn.comp.195956fa55da5ddb7725,"[""ret_1m"", ""ctx_zls_df_num""]","[""ctx_zls_df_num""]",True,CONTROL_NO_SEPARATE_VOTE,False,True,"[""development""]",False,False,cn_unified_registry_driven_compositional_v2,cn.comp.v2.market_regime_condition.regime_conditioned_path,regime conditions the recent stock path,"[""PRIMARY"", ""CONDITION_ONLY""]",dimensionless-gated,market_state_observable_at_or_before_payload,joint payload and regime maturity,remove_condition_gate,4,market-time block,cross_sectional,PRIMARY_SEARCH,MARKET_CONDITIONED_STOCK_PAYLOAD,False,ONE_MARKET_TIME_BLOCK_ONE_VOTE,cn.pair.4104bd43c6de06f50bde6c274a4f4fb0,cn_compositional_same_fields_market_regime_condition_v2,SAME_FULL_SHARD_UNIVERSE|SAME_TRADE_TIMES|SAME_SPLIT_ROLES|SAME_HORIZONS|SAME_SUPPORT_COORDINATES|SAME_PORTFOLIO_MODE|SAME_COST_ASSUMPTIONS,PRIMARY_CONTROL_FINITE_INTERSECTION_AT_SHARED_COORDINATE,MAX_PRIMARY_CONTROL_MATURITY_BEFORE_SHARED_SUPPORT,False,CONTROL,True,ALLOW,,"registry, PIT, unit, route, maturity, control and access contracts passed","CSRank(Add(ZScore($ret_1m),Mul(0,$ctx_zls_df_num)))",be24d5bed22ff0c91f2c398819eeb8c698d5d673d1437fc7f14c10e60e6bd399,0b8bd9821aec2ff38ff374b1d432c7b979b46852ef9fac640fbc1f76b1fdc698,"[""ctx_zls_df_num"", ""ret_1m""]","[""cn.sf.78a2115ee1fc8f097ef4ad089e83c268"", ""cn.sf.7ac67c3e2be8e149c3c02a4842c21173""]","[""cn.rep.530cebb9bb594cdfc258f9ca9691a013"", ""cn.rep.92264a877f9fcf2b53483a2833631e12""]","[""root:CSRank"", ""root.CSRank[0]:Add"", ""root.CSRank[0].Add[0]:ZScore"", ""root.CSRank[0].Add[1]:Mul""]",state observable at or before candidate action time,RegistryDrivenGenerator,registry_compositional_v2,6,e4b334ae4acd33e64a498a1ed32424929fbc8740f5bfd15337e80e325ec8b38b
